cities,birth_rate,pop_growth,financial
경기 수원시,1.292,1.06,60.9
경기 성남시,1.159,-0.26,61.9
경기 의정부시,1.104,0.69,34.1
경기 안양시,1.177,-0.47,54.4
경기 부천시,1.072,-0.64,47.5
경기 광명시,1.235,-0.88,46.9
경기 평택시,1.469,2.67,46.2
경기 동두천시,1.292,0.52,21.9
경기 안산시,1.219,-1.05,48.1
경기 고양시,1.161,2.14,50.2
경기 과천시,1.099,-1.74,48.2
경기 구리시,1.159,-0.02,40.0
경기 남양주시,1.255,2.72,40.3
경기 오산시,1.458,-0.42,45.6
경기 시흥시,1.306,1.21,55.6
경기 군포시,1.422,-0.16,46.2
경기 의왕시,1.209,-0.48,46.0
경기 하남시,1.076,11.83,53.8
경기 용인시,1.316,1.59,61.9
경기 파주시,1.443,2.98,43.6
경기 이천시,1.470,0.11,51.1
경기 안성시,1.335,-0.79,37.5
경기 김포시,1.461,3.06,50.0
경기 화성시,1.555,10.02,64.2
경기 광주시,1.450,4.64,51.6
경기 양주시,1.318,1.40,38.9
경기 포천시,1.354,-0.32,29.8
경기 여주시,1.336,0.67,36.8
강원 춘천시,1.202,0.78,27.7
강원 원주시,1.255,1.79,29.7
강원 강릉시,1.234,-0.52,19.7
강원 동해시,1.340,-0.68,19.9
강원 태백시,1.276,-1.58,30.6
강원 속초시,1.486,-0.26,25.2
강원 삼척시,1.307,-1.93,20.5
충북 청주시,1.444,0.11,35.8
충북 충주시,1.260,-0.11,19.4
충북 제천시,1.301,-0.49,20.4
충남 천안시,1.380,1.29,44.1
충남 공주시,1.147,-2.02,19.9
충남 보령시,1.303,0.54,20.9
충남 아산시,1.692,1.24,45.5
충남 서산시,1.752,1.64,31.8
충남 논산시,1.384,-0.27,16.4
충남 계룡시,1.305,2.96,24.8
충남 당진시,1.949,1.41,34.8
전북 전주시,1.255,-0.05,32.2
전북 군산시,1.495,0.22,26.6
전북 익산시,1.341,-0.65,20.9
전북 정읍시,1.338,-0.97,14.3
전북 남원시,1.383,-0.82,11.9
전북 김제시,1.268,-1.36,13.7
전남 목포시,1.304,-0.22,23.5
전남 여수시,1.550,-0.13,30.8
전남 순천시,1.340,0.61,26.2
전남 나주시,1.639,8.18,17.5
전남 광양시,1.835,0.94,35.5
경북 포항시,1.475,0.07,35.2
경북 경주시,1.294,-0.36,25.6
경북 김천시,1.419,3.52,25.8
경북 안동시,1.619,0.29,15.1
경북 구미시,1.440,-0.17,44.2
경북 영주시,1.357,-0.89,23.1
경북 영천시,1.554,0.21,17.5
경북 상주시,1.391,-0.51,14.0
경북 문경시,1.571,-0.17,19.9
경북 경산시,1.457,1.29,30.8
경남 창원시,1.345,-0.43,42.6
경남 진주시,1.290,1.24,31.7
경남 통영시,1.484,0.16,23.5
경남 사천시,1.518,-0.89,22.5
경남 김해시,1.495,0.44,41.3
경남 밀양시,1.268,0.40,19.0
경남 거제시,1.911,3.38,41.5
경남 양산시,1.504,3.17,40.5
