군별,pop_growth,birth_rate,elderly_rate,finance,cultural_center,social_welfare,active_firms,economic_activities
경기 수원시,1.06,1.292,8.71,0.729,2.79,6.9,57.18,61.7
경기 성남시,-0.26,1.159,11.26,0.768,2.16,6.16,62.43,61.2
경기 의정부시,0.69,1.104,12.63,0.606,1.38,18.56,57.74,56.6
경기 안양시,-0.47,1.177,10.32,0.721,2.34,5.33,74.08,60.9
경기 부천시,-0.64,1.072,10.13,0.662,2.94,13.79,69.13,60.2
경기 광명시,-0.88,1.235,10.77,0.691,2.32,4.59,52.85,59
경기 평택시,2.67,1.469,11.28,0.636,2.61,8.45,71.15,60.3
경기 동두천시,0.52,1.292,16.46,0.575,4.08,32.79,62.81,55.5
경기 안산시,-1.05,1.219,8.28,0.666,3.44,16.81,73.39,60.6
경기 고양시,2.14,1.161,10.97,0.659,3.02,15.01,58.94,57.2
경기 과천시,-1.74,1.099,12.13,0.871,17.4,4.28,52.65,54.3
경기 구리시,-0.02,1.159,10.64,0.689,3.21,8.56,70.94,59.9
경기 남양주시,2.72,1.255,11.48,0.621,3.83,17.29,51.39,58.3
경기 오산시,-0.42,1.458,7.68,0.675,5.32,5.27,53.21,62.4
경기 시흥시,1.21,1.306,7.86,0.725,3.77,18.24,94.97,61.1
경기 군포시,-0.16,1.422,10.01,0.713,2.78,12.48,55.42,59.7
경기 의왕시,-0.48,1.209,10.79,0.716,5.07,9.46,50.36,58.5
경기 하남시,11.83,1.076,11.04,0.754,3,16.12,78.93,61
경기 용인시,1.59,1.316,10.99,0.748,3.79,9.57,47.23,56.8
경기 파주시,2.98,1.443,12.07,0.631,7.8,17.99,60.38,60.9
경기 이천시,0.11,1.47,12.07,0.71,6.34,13.66,72.51,65.5
경기 안성시,-0.79,1.335,14.55,0.655,6.1,25.29,76.39,64.1
경기 김포시,3.06,1.461,11.14,0.639,2.86,10.58,71.1,60.3
경기 화성시,10.02,1.555,8.25,0.803,3.69,14.61,89.34,62.6
경기 광주시,4.64,1.45,10.74,0.677,4.48,11.04,77.43,61.6
경기 양주시,1.4,1.318,13,0.7,5.85,19.79,77.07,59.1
경기 포천시,-0.32,1.354,15.7,0.68,8.38,43.65,107.56,60.7
경기 여주시,0.67,1.336,17.73,0.698,19.81,30.8,72.56,61.3
강원 춘천시,0.78,1.202,14.85,0.657,6.83,29.37,76.76,55.3
강원 원주시,1.79,1.255,12.5,0.641,5.41,22.3,82.71,60
강원 강릉시,-0.52,1.234,17.62,0.623,14.45,31.05,91.73,55.1
강원 동해시,-0.68,1.34,16.21,0.65,8.52,11.63,86.03,57.5
강원 태백시,-1.58,1.276,19.69,0.726,14.74,8.29,89.02,56.6
강원 속초시,-0.26,1.486,15.59,0.634,9.76,20.62,97.29,56.7
강원 삼척시,-1.93,1.307,20.99,0.701,14.12,8.3,86.03,55.9
충북 청주시,0.11,1.444,10.96,0.65,4.81,14.67,69.32,63.4
충북 충주시,-0.11,1.26,16.7,0.623,7.7,22.06,80.52,63.4
충북 제천시,-0.49,1.301,17.68,0.661,9.55,22.66,89.13,57.8
충남 천안시,1.29,1.38,9.22,0.66,4.13,14.21,74.17,61.2
충남 공주시,-2.02,1.147,22.03,0.658,15.28,28.16,77.84,60.2
충남 보령시,0.54,1.303,22.11,0.628,10.5,16.3,79.91,66.5
충남 아산시,1.24,1.692,11.58,0.615,5.04,15.31,65.03,64.2
충남 서산시,1.64,1.752,16.41,0.687,4.12,14.92,70.41,63.5
충남 논산시,-0.27,1.384,22.77,0.581,5.63,30.45,83.52,62.4
충남 계룡시,2.96,1.305,9.02,0.775,9.59,24.66,49.54,52.6
충남 당진시,1.41,1.949,16.47,0.676,7.27,13.51,69.02,70.1
전북 전주시,-0.05,1.255,12.51,0.577,4.91,10.11,79.12,54.9
전북 군산시,0.22,1.495,15.42,0.566,4.31,14.38,78.63,55.1
전북 익산시,-0.65,1.341,16.15,0.533,5.96,21.7,74.58,54.7
전북 정읍시,-0.97,1.338,24.51,0.61,9.48,22.19,76.08,59.8
전북 남원시,-0.82,1.383,24.6,0.61,10.61,21.02,85.65,64.5
전북 김제시,-1.36,1.268,28.31,0.581,9.02,29.96,76.49,63.6
전남 목포시,-0.22,1.304,13.65,0.544,5.87,10.87,85.87,57.4
전남 여수시,-0.13,1.55,16.14,0.643,3.1,12.03,77.2,58.2
전남 순천시,0.61,1.34,13.63,0.647,5.38,10.46,71.55,60.4
전남 나주시,8.18,1.639,22.5,0.573,12.22,24.26,72.72,65.7
전남 광양시,0.94,1.835,10.94,0.687,4.56,14.46,71.47,58.6
경북 포항시,0.07,1.475,13.22,0.635,3.85,7.12,77.49,60.6
경북 경주시,-0.36,1.294,18.8,0.609,7.31,9.94,88.84,61.2
경북 김천시,3.52,1.419,20.03,0.636,5.71,19.93,70.71,60.1
경북 안동시,0.29,1.619,20.54,0.639,10.05,11.86,79.89,62.2
경북 구미시,-0.17,1.44,7.51,0.635,2.62,10.71,75.16,65.4
경북 영주시,-0.89,1.357,22.5,0.641,9.11,18.96,85.41,61.2
경북 영천시,0.21,1.554,24.93,0.602,6.95,12.91,81.79,64.7
경북 상주시,-0.51,1.391,27.28,0.659,8.79,21.38,72.49,63.8
경북 문경시,-0.17,1.571,25.82,0.648,17.15,25.03,78.86,60.9
경북 경산시,1.29,1.457,14.1,0.643,5.45,15.75,71.56,57.9
경남 창원시,-0.43,1.345,11.02,0.648,5.45,6.88,76.49,59.1
경남 진주시,1.24,1.29,14.22,0.674,4.94,7.35,82.19,60.5
경남 통영시,0.16,1.484,15.12,0.619,9.34,10.04,78.17,59.7
경남 사천시,-0.89,1.518,18.71,0.637,6.06,15.45,81.9,62.3
경남 김해시,0.44,1.495,9.06,0.631,3.97,5.5,79.72,59.1
경남 밀양시,0.4,1.268,23.64,0.664,8.34,18.56,82.76,60.5
경남 거제시,3.38,1.911,8.14,0.647,5.08,4.43,60.26,65.3
경남 양산시,3.17,1.504,11.08,0.659,3.65,9.23,72.67,61.5
