군별,pop_growth,birth_rate
경기 수원시,1.06,1.292
경기 성남시,-0.26,1.159
경기 의정부시,0.69,1.104
경기 안양시,-0.47,1.177
경기 부천시,-0.64,1.072
경기 광명시,-0.88,1.235
경기 평택시,2.67,1.469
경기 동두천시,0.52,1.292
경기 안산시,-1.05,1.219
경기 고양시,2.14,1.161
경기 과천시,-1.74,1.099
경기 구리시,-0.02,1.159
경기 남양주시,2.72,1.255
경기 오산시,-0.42,1.458
경기 시흥시,1.21,1.306
경기 군포시,-0.16,1.422
경기 의왕시,-0.48,1.209
경기 하남시,11.83,1.076
경기 용인시,1.59,1.316
경기 파주시,2.98,1.443
경기 이천시,0.11,1.470
경기 안성시,-0.79,1.335
경기 김포시,3.06,1.461
경기 화성시,10.02,1.555
경기 광주시,4.64,1.450
경기 양주시,1.40,1.318
경기 포천시,-0.32,1.354
경기 여주시,0.67,1.336
강원 춘천시,0.78,1.202
강원 원주시,1.79,1.255
강원 강릉시,-0.52,1.234
강원 동해시,-0.68,1.340
강원 태백시,-1.58,1.276
강원 속초시,-0.26,1.486
강원 삼척시,-1.93,1.307
충북 청주시,0.11,1.444
충북 충주시,-0.11,1.260
충북 제천시,-0.49,1.301
충남 천안시,1.29,1.380
충남 공주시,-2.02,1.147
충남 보령시,0.54,1.303
충남 아산시,1.24,1.692
충남 서산시,1.64,1.752
충남 논산시,-0.27,1.384
충남 계룡시,2.96,1.305
충남 당진시,1.41,1.949
전북 전주시,-0.05,1.255
전북 군산시,0.22,1.495
전북 익산시,-0.65,1.341
전북 정읍시,-0.97,1.338
전북 남원시,-0.82,1.383
전북 김제시,-1.36,1.268
전남 목포시,-0.22,1.304
전남 여수시,-0.13,1.550
전남 순천시,0.61,1.340
전남 나주시,8.18,1.639
전남 광양시,0.94,1.835
경북 포항시,0.07,1.475
경북 경주시,-0.36,1.294
경북 김천시,3.52,1.419
경북 안동시,0.29,1.619
경북 구미시,-0.17,1.440
경북 영주시,-0.89,1.357
경북 영천시,0.21,1.554
경북 상주시,-0.51,1.391
경북 문경시,-0.17,1.571
경북 경산시,1.29,1.457
경남 창원시,-0.43,1.345
경남 진주시,1.24,1.290
경남 통영시,0.16,1.484
경남 사천시,-0.89,1.518
경남 김해시,0.44,1.495
경남 밀양시,0.40,1.268
경남 거제시,3.38,1.911
경남 양산시,3.17,1.504
